Kategorie: Alle Kategorien;;
;;
Monat;Bitcoin: (Weltweit);Coffee: (Weltweit)
2010-01;0;18
2010-02;0;19
2010-03;0;18
2010-04;0;18
2010-05;0;17
2010-06;0;17
2010-07;0;18
2010-08;0;18
2010-09;0;18
2010-10;0;18
2010-11;0;20
2010-12;0;22
2011-01;0;21
2011-02;0;18
2011-03;0;19
2011-04;0;19
2011-05;1;18
2011-06;2;21
2011-07;1;21
2011-08;1;24
2011-09;1;23
2011-10;1;22
2011-11;0;26
2011-12;0;27
2012-01;0;25
2012-02;0;26
2012-03;0;24
2012-04;0;25
2012-05;0;23
2012-06;0;26
2012-07;0;26
2012-08;1;27
2012-09;1;29
2012-10;0;28
2012-11;1;28
2012-12;1;28
2013-01;1;29
2013-02;1;27
2013-03;3;26
2013-04;7;26
2013-05;3;26
2013-06;2;27
2013-07;2;27
2013-08;2;24
2013-09;2;23
2013-10;3;24
2013-11;11;24
2013-12;12;27
2014-01;8;26
2014-02;9;27
2014-03;6;24
2014-04;4;25
2014-05;3;23
2014-06;3;24
2014-07;3;24
2014-08;3;26
2014-09;3;26
2014-10;3;25
2014-11;3;27
2014-12;3;30
2015-01;3;27
2015-02;3;26
2015-03;3;25
2015-04;2;26
2015-05;2;25
2015-06;2;25
2015-07;3;26
2015-08;3;26
2015-09;2;28
2015-10;3;27
2015-11;3;30
2015-12;4;30
2016-01;3;31
2016-02;3;28
2016-03;3;27
2016-04;3;28
2016-05;4;28
2016-06;5;27
2016-07;3;28
2016-08;3;29
2016-09;3;32
2016-10;3;32
2016-11;4;33
2016-12;5;37
2017-01;6;32
2017-02;6;32
2017-03;7;32
2017-04;6;32
2017-05;15;31
2017-06;15;31
2017-07;12;33
2017-08;21;32
2017-09;22;33
2017-10;23;34
2017-11;45;37
2017-12;100;38
2018-01;53;35
2018-02;41;33
2018-03;24;35
2018-04;18;33
2018-05;14;32
2018-06;13;33
2018-07;13;35
2018-08;12;35
2018-09;12;36
2018-10;10;36
2018-11;14;36
2018-12;13;39
2019-01;9;36
2019-02;10;36
2019-03;9;36
2019-04;12;33
2019-05;17;35
2019-06;21;37
2019-07;18;39
2019-08;15;39
2019-09;12;38
2019-10;12;37
2019-11;11;42
2019-12;11;41
2020-01;13;38
2020-02;14;38
2020-03;19;34
2020-04;16;43
2020-05;20;38
2020-06;14;38
2020-07;13;40
2020-08;16;39
2020-09;13;39
2020-10;14;41
2020-11;23;38
2020-12;31;41
2021-01;65;39
2021-02;68;39
2021-03;47;36
2021-04;50;39
2021-05;67;37
2021-06;47;38
2021-07;30;40
2021-08;31;41
2021-09;31;40
2021-10;37;42
2021-11;34;42
2021-12;33;43
2022-01;40;43
2022-02;35;42
2022-03;30;41
2022-04;24;41
2022-05;36;42
2022-06;41;42
2022-07;29;43
2022-08;22;43
2022-09;21;43
2022-10;17;42
2022-11;27;43
2022-12;18;45
2023-01;20;43
2023-02;19;45
2023-03;23;43
2023-04;20;42
2023-05;18;41
2023-06;18;45
2023-07;18;46
2023-08;17;44
2023-09;15;46
2023-10;18;44
2023-11;20;47
2023-12;24;49
2024-01;28;48
2024-02;25;47
2024-03;41;49
2024-04;30;44
2024-05;21;46
2024-06;19;49
2024-07;21;47
2024-08;23;50
2024-09;18;47
2024-10;18;46
2024-11;46;52
2024-12;40;54
